??? ???????? ?? ???????,,,,,,x,y,z,?? ???????? ?? ???????,,,
  KF 0 ID:,1,"  X: 0, Y: 0, Z: 0",,,"  alphaX: 0, alphaY: 0, alphaZ: 0",0,0,0,  KF 0 ID:,1,"  X: -9.331874, Y: 11.14752, Z: 17.33057","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 1 ID:,50,"  X: -0.007956, Y: -0.112506, Z: 0.011715",,,"  alphaX: -0.001201484, alphaY: 0.000373539, alphaZ: -0.002820444",-0.024558,-0.112506,0.011715,  KF 1 ID:,50,"  X: -9.290738, Y: 11.14752, Z: 17.23873","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 2 ID:,71,"  X: -0.024558, Y: -0.267253, Z: 0.014786",,,"  alphaX: -0.001613915, alphaY: 0.001382023, alphaZ: -0.002445641",-0.024558,-0.267253,0.014786,  KF 2 ID:,71,"  X: -9.196526, Y: 11.14752, Z: 17.11049","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 3 ID:,90,"  X: -0.047735, Y: -0.4502, Z: 0.021249",,,"  alphaX: -0.002135164, alphaY: 0.001716371, alphaZ: -0.001248854",-0.047735,-0.4502,0.021249,  KF 3 ID:,90,"  X: -9.070797, Y: 11.14752, Z: 16.91044","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 4 ID:,109,"  X: -0.075042, Y: -0.661524, Z: 0.02882",,,"  alphaX: -0.002457792, alphaY: 0.002218846, alphaZ: 5.45238E-05",-0.075042,-0.661524,0.02882,  KF 4 ID:,109,"  X: -8.939761, Y: 11.14752, Z: 16.69603","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 5 ID:,128,"  X: -0.105853, Y: -0.905413, Z: 0.036964",,,"  alphaX: -0.00235417, alphaY: 0.002466255, alphaZ: 0.001903478",-0.105853,-0.905413,0.036964,  KF 5 ID:,128,"  X: -8.78484, Y: 11.14752, Z: 16.43185","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 6 ID:,165,"  X: -0.129474, Y: -1.279925, Z: 0.038502",,,"  alphaX: -0.04126777, alphaY: -0.02997732, alphaZ: 0.02111343",-0.129474,-1.279925,0.038502,  KF 6 ID:,165,"  X: -8.422251, Y: 11.14752, Z: 15.73252","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 7 ID:,188,"  X: -0.161118, Y: -1.680691, Z: -0.040424",,,"  alphaX: -0.07494256, alphaY: -0.01862577, alphaZ: 0.07871015",-0.161118,-1.680691,-0.040424,  KF 7 ID:,188,"  X: -8.200319, Y: 11.14752, Z: 15.30035","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 8 ID:,198,"  X: -0.180923, Y: -1.862876, Z: -0.028837",,,"  alphaX: 0.0747449, alphaY: -0.01882613, alphaZ: 0.08171968",-0.180923,-1.862876,-0.028837,  KF 8 ID:,198,"  X: -8.067624, Y: 11.14752, Z: 15.04587","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 9 ID:,210,"  X: -0.205264, Y: -2.17923, Z: -0.041642",,,"  alphaX: 0.08152205, alphaY: -0.01595008, alphaZ: 0.08629402",-0.205264,-2.17923,-0.041642,  KF 9 ID:,210,"  X: -7.924646, Y: 11.14752, Z: 14.78504","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 10 ID:,228,"  X: -0.222431, Y: -2.493087, Z: -0.056997",,,"  alphaX: 0.07974822, alphaY: -0.0151168, alphaZ: 0.08991989",-0.222431,-2.493087,-0.056997,  KF 10 ID:,228,"  X: -7.706031, Y: 11.14752, Z: 14.37558","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 11 ID:,245,"  X: -0.237535, Y: -2.814022, Z: -0.070968",,,"  alphaX: 0.07644327, alphaY: 0.0219854, alphaZ: 0.09322612",-0.237535,-2.814022,-0.070968,  KF 11 ID:,245,"  X: -7.510638, Y: 11.14752, Z: 14.02291","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 12 ID:,273,"  X: -0.255851, Y: -3.214057, Z: -0.082485",,,"  alphaX: 0.071417, alphaY: 0.02184811, alphaZ: 0.09604484",-0.255851,-3.214057,-0.082485,  KF 12 ID:,273,"  X: -7.102602, Y: 11.14752, Z: 13.27214","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 13 ID:,298,"  X: -0.277553, Y: -3.630898, Z: -0.099384",,,"  alphaX: 0.0725226, alphaY: 0.02100274, alphaZ: 0.09809725",-0.277553,-3.630898,-0.099384,  KF 13 ID:,298,"  X: -6.762571, Y: 11.14752, Z: 12.63926","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 14 ID:,313,"  X: -0.296379, Y: -4.02003, Z: -0.110979",,,"  alphaX: 0.06925925, alphaY: 0.01954915, alphaZ: 0.100862",-0.296379,-4.02003,-0.110979,  KF 14 ID:,313,"  X: -6.538317, Y: 11.14752, Z: 12.22981","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 15 ID:,333,"  X: -0.309581, Y: -4.38692, Z: -0.119628",,,"  alphaX: 0.0685176, alphaY: 0.01919609, alphaZ: 0.1017246",-0.309581,-4.38692,-0.119628,  KF 15 ID:,333,"  X: -6.216532, Y: 11.14752, Z: 11.64302","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 16 ID:,351,"  X: -0.323575, Y: -4.760418, Z: -0.128187",,,"  alphaX: 0.06760471, alphaY: 0.01907335, alphaZ: 0.1026492",-0.323575,-4.760418,-0.128187,  KF 16 ID:,351,"  X: -5.934224, Y: 11.14753, Z: 11.11468","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 17 ID:,368,"  X: -0.33534, Y: -5.115216, Z: -0.134782",,,"  alphaX: 0.06622113, alphaY: 0.01894037, alphaZ: 0.1056353",-0.33534,-5.115216,-0.134782,  KF 17 ID:,368,"  X: -5.687412, Y: 11.14753, Z: 10.67016","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 18 ID:,384,"  X: -0.346326, Y: -5.46892, Z: -0.141942",,,"  alphaX: 0.0657595, alphaY: 0.0186515, alphaZ: 0.1062229",-0.346326,-5.46892,-0.141942,  KF 18 ID:,384,"  X: -5.385199, Y: 11.14753, Z: 10.12211","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 19 ID:,400,"  X: -0.357446, Y: -5.821494, Z: -0.152275",,,"  alphaX: 0.06572308, alphaY: 0.01848748, alphaZ: 0.1068628",-0.357446,-5.821494,-0.152275,  KF 19 ID:,400,"  X: -5.128767, Y: 11.14753, Z: 9.66991","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 20 ID:,415,"  X: -0.369921, Y: -6.169436, Z: -0.163502",,,"  alphaX: 0.06543147, alphaY: 0.01850327, alphaZ: 0.1077311",-0.369921,-6.169436,-0.163502,  KF 20 ID:,415,"  X: -4.868353, Y: 11.14753, Z: 9.210363","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 21 ID:,429,"  X: -0.384791, Y: -6.520042, Z: -0.170901",,,"  alphaX: 0.06507289, alphaY: 0.01868653, alphaZ: 0.1086527",-0.384791,-6.520042,-0.170901,  KF 21 ID:,429,"  X: -4.620877, Y: 11.14753, Z: 8.749147","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 22 ID:,444,"  X: -0.398902, Y: -6.891189, Z: -0.175139",,,"  alphaX: 0.0655352, alphaY: 0.01898421, alphaZ: 0.1093832",-0.398902,-6.891189,-0.175139,  KF 22 ID:,444,"  X: -4.374396, Y: 11.14754, Z: 8.281586","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 23 ID:,457,"  X: -0.415032, Y: -7.27526, Z: -0.186889",,,"  alphaX: 0.07105003, alphaY: 0.01901925, alphaZ: 0.1105519",-0.415032,-7.27526,-0.186889,  KF 23 ID:,457,"  X: -4.178008, Y: 11.14754, Z: 7.90787","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 24 ID:,465,"  X: -0.481875, Y: -7.506103, Z: -0.335271",,,"  alphaX: 0.2650786, alphaY: 0.01181775, alphaZ: 0.1137763",-0.481875,-7.506103,-0.335271,  KF 24 ID:,465,"  X: -4.029058, Y: 11.14754, Z: 7.624996","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
  KF 25 ID:,474,"  X: -0.529033, Y: -7.540427, Z: -0.457637",,,"  alphaX: 0.5652429, alphaY: 0.0360616, alphaZ: 0.1134148",-0.529033,-7.540427,-0.457637,  KF 25 ID:,474,"  X: -3.885748, Y: 11.14754, Z: 7.341787","  alphaX: 1.521124, alphaY: -0.5728458, alphaZ: 0.04674574"
